"Gene","logFC","padj","Significant","Regulation","Timepoint"
"IL21R",0.362828839735355,0.584600268050914,FALSE,"No difference","Baseline"
"KEAP1",-0.207834477406708,0.660530100120251,FALSE,"No difference","Baseline"
"ICAM1",-0.316186573369782,0.566951173671358,FALSE,"No difference","Baseline"
"CYSLTR1",0.287964979204955,0.584600268050914,FALSE,"No difference","Baseline"
"CEACAM6",-0.189193353124312,0.66912388992517,FALSE,"No difference","Baseline"
"IRF5",0.194776345394657,0.567908908250105,FALSE,"No difference","Baseline"
"PSMB8",0.222708957088011,0.539216824989396,FALSE,"No difference","Baseline"
"IL1R2",-0.348334881604895,0.549960532414017,FALSE,"No difference","Baseline"
"C4BPA",-1.32597325291925,0.584600268050914,FALSE,"No difference","Baseline"
"CD8A",-0.284801616554706,0.561213748876687,FALSE,"No difference","Baseline"
"CD3G",-0.27084954936886,0.549687105247955,FALSE,"No difference","Baseline"
"HPRT1",-0.233611292512631,0.566951173671358,FALSE,"No difference","Baseline"
"CD19",-0.347288965706539,0.566951173671358,FALSE,"No difference","Baseline"
"DPP4",-0.249866229540242,0.567908908250105,FALSE,"No difference","Baseline"
"BCL2L11",-0.209080266941649,0.567908908250105,FALSE,"No difference","Baseline"
"GATA3",-0.23819192879477,0.678838452552805,FALSE,"No difference","Baseline"
"RPS6KA5",-0.228404204397192,0.567908908250105,FALSE,"No difference","Baseline"
"BTK",-0.186125915476332,0.61287381360124,FALSE,"No difference","Baseline"
"MAPKAPK5",-0.200476628083868,0.584600268050914,FALSE,"No difference","Baseline"
"HMGB1",-0.353738086473371,0.695229058096577,FALSE,"No difference","Baseline"
"LIMK1",-0.185728939844382,0.695229058096577,FALSE,"No difference","Baseline"
"ITGA4",0.268834155688829,0.567908908250105,FALSE,"No difference","Baseline"
"ABCF1",0.201011442231407,0.590363772666912,FALSE,"No difference","Baseline"
"CLEC4E",-0.434829556879862,0.573762980107813,FALSE,"No difference","Baseline"
"USP9Y",-0.275055326397275,0.566951173671358,FALSE,"No difference","Baseline"
"STAT5A",0.182491813836148,0.571745126095216,FALSE,"No difference","Baseline"
"HLA-DOB",-0.365478466167362,0.681439286438731,FALSE,"No difference","Baseline"
"RNASEL",0.226851314883985,0.681439286438731,FALSE,"No difference","Baseline"
"EWSR1",-0.180552659520972,0.567908908250105,FALSE,"No difference","Baseline"
"HLA-A",0.932914127282686,0.569532693579351,FALSE,"No difference","Baseline"
"IL7R",-0.184197516602786,0.571745126095216,FALSE,"No difference","Baseline"
"PRKCB",0.157355156743105,0.567908908250105,FALSE,"No difference","Baseline"
"KIR3DL2",-0.321175708887078,0.669581876098305,FALSE,"No difference","Baseline"
"IL18R1",-0.242976204948124,0.695229058096577,FALSE,"No difference","Baseline"
"ITGA2B",-0.35992738761677,0.567908908250105,FALSE,"No difference","Baseline"
"MR1",0.170588212801826,0.713514501632567,FALSE,"No difference","Baseline"
"KLRK1",-0.282904489524926,0.569532693579351,FALSE,"No difference","Baseline"
"IFNG",-0.3006766904605,0.713514501632567,FALSE,"No difference","Baseline"
"CD46",-0.159467009085127,0.571745126095216,FALSE,"No difference","Baseline"
"CSF2RB",0.298531942265759,0.584600268050914,FALSE,"No difference","Baseline"
"POU2F2",0.30069334519098,0.675664586317876,FALSE,"No difference","Baseline"
"GPR183",-0.235435282531244,0.584600268050914,FALSE,"No difference","Baseline"
"SMAD3",-0.233039403062669,0.599224556636953,FALSE,"No difference","Baseline"
"IL18RAP",-0.373661296947511,0.698890663613288,FALSE,"No difference","Baseline"
"CD40",-0.314349182423064,0.698890663613288,FALSE,"No difference","Baseline"
"IKBKB",0.154751352495998,0.597800080299039,FALSE,"No difference","Baseline"
"CD5",-0.248044106623268,0.628509536221562,FALSE,"No difference","Baseline"
"CYSLTR2",0.2343481113198,0.729629246976964,FALSE,"No difference","Baseline"
"CXCL6",-0.217949394153544,0.726153600160262,FALSE,"No difference","Baseline"
"HRAS",-0.186929034669505,0.726153600160262,FALSE,"No difference","Baseline"
"MS4A2",-0.323040992824515,0.670635786385672,FALSE,"No difference","Baseline"
"CSF1",-0.251572125987381,0.675664586317876,FALSE,"No difference","Baseline"
"TRAF1",-0.193438327413493,0.675664586317876,FALSE,"No difference","Baseline"
"PPP1R12B",0.212324264605574,0.698890663613288,FALSE,"No difference","Baseline"
"BCL2",-0.27867679947825,0.607607558294966,FALSE,"No difference","Baseline"
"BCL6",0.304677982675548,0.597800080299039,FALSE,"No difference","Baseline"
"FPR2",-0.233257448541798,0.713514501632567,FALSE,"No difference","Baseline"
"IFNAR2",0.208972960036994,0.628509536221562,FALSE,"No difference","Baseline"
"IL1RL1",0.25800307033755,0.733151212372966,FALSE,"No difference","Baseline"
"CASP2",0.167057154561787,0.628509536221562,FALSE,"No difference","Baseline"
"CD38",0.315724594295157,0.626123411924902,FALSE,"No difference","Baseline"
"ARG2",-0.28024176890661,0.61287381360124,FALSE,"No difference","Baseline"
"IL11RA",-0.206152336946403,0.628509536221562,FALSE,"No difference","Baseline"
"MKNK1",-0.168298403771849,0.675664586317876,FALSE,"No difference","Baseline"
"IDO2",0.537919016690516,0.683955251561217,FALSE,"No difference","Baseline"
"RELB",0.15665575045704,0.762691010963452,FALSE,"No difference","Baseline"
"TRAF2",0.213653117866974,0.733151212372966,FALSE,"No difference","Baseline"
"PRF1",0.373634354059746,0.61287381360124,FALSE,"No difference","Baseline"
"CMA1",0.243042115903967,0.726153600160262,FALSE,"No difference","Baseline"
"KLRG1",-0.337052813843665,0.654741137150475,FALSE,"No difference","Baseline"
"GRB2",0.145220973282282,0.629239070870543,FALSE,"No difference","Baseline"
"MAPK3",-0.183231983558322,0.649969621816001,FALSE,"No difference","Baseline"
"G6PD",-0.271175859569013,0.661071138994708,FALSE,"No difference","Baseline"
"CXCR2",0.317079828960939,0.626123411924902,FALSE,"No difference","Baseline"
"MEF2D",0.140569720754846,0.670635786385672,FALSE,"No difference","Baseline"
"GZMB",0.342981198494037,0.675664586317876,FALSE,"No difference","Baseline"
"IRAK3",-0.251882977638642,0.643192831114713,FALSE,"No difference","Baseline"
"PTGDR2",0.235962396525492,0.791882231862309,FALSE,"No difference","Baseline"
"KCNJ2",0.293809503082963,0.648933902109965,FALSE,"No difference","Baseline"
"IKBKG",0.184959099013492,0.775959269485722,FALSE,"No difference","Baseline"
"LAG3",-0.192095544298545,0.791882231862309,FALSE,"No difference","Baseline"
"GFI1",-0.209450889532444,0.733151212372966,FALSE,"No difference","Baseline"
"PTPN22",-0.216412007487541,0.66912388992517,FALSE,"No difference","Baseline"
"CD22",-0.247566684116508,0.782765022449015,FALSE,"No difference","Baseline"
"CTNNB1",0.147737620833599,0.662943880712043,FALSE,"No difference","Baseline"
"MAPK11",-0.128659510604638,0.825728716452085,FALSE,"No difference","Baseline"
"EGR2",-0.199186862431449,0.808795313291174,FALSE,"No difference","Baseline"
"CD2",-0.217192634973076,0.669581876098305,FALSE,"No difference","Baseline"
