Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
IL6R,246.52,127.65,198.06,246.99,205.6,353.56,192.08,111.11,98.55,212.99,98.61,299.43,176.67,124.71,279.8,217.95,166.18,83.96,324.99,95.97,92.08,125.55,124.03,127.74,132.56,117.64,187.92,97.02,144.2,121.15,190.68,128.89,67.24,93.94,115.8,86.15,100.09,110.01,143.52,159.66,65.41,83.28,137.85,20,170.12,119.02,156.13,91.12,85.26,128.53,130.51,91.55
IL6ST,116.18,94.56,191.96,413.17,450.75,362.37,336.13,302.61,216.39,152.62,134.99,153.95,110.71,180.04,167.23,123.89,132.69,87.13,131.04,113.97,91.42,98.18,84.02,133.55,148,169.44,147.18,108.27,156.42,146.54,173.48,135.6,140.95,108.48,129.97,128.32,185.25,170.84,191.06,159.66,109.89,150.48,126.36,129.86,138.53,172.94,173.35,160.04,125.6,134.8,201.56,106.39
IL7,111.22,89.83,121.88,76.26,90.15,75.49,68.19,75.65,71.77,97.95,98.61,101.69,109.54,109.78,122.21,73.41,45.09,57.03,50.67,52.49,66.06,51.51,54.01,56.61,51.48,55.04,55.19,35.15,78.21,69.23,87.46,62.3,66.6,51.45,62.62,53.84,132.96,132.01,155.41,120.43,102.04,117.35,110.28,173.15,162.83,100.71,127.43,140.76,114.6,112.85,108.75,123.71
IL7R,1753.96,1697.31,2021.7,2130.73,1855.18,1736.34,1999.52,1660.79,1104.43,1019.37,862.6,894.06,1163.69,1528.11,1037.71,979.62,912.07,405.54,550.38,606.59,698.63,579.44,480.11,902.89,1338.43,1047.94,1109.13,762.8,1212.22,974.98,1210.06,1059.18,1041.62,832.08,1061.06,1276.96,1304.22,996.55,1299.03,916.88,656.73,913.26,721.41,637.5,1518.92,1400.83,1438.44,1106.84,962.66,1133.22,1621.17,893.22
IL8,528.46,82.74,542.37,388.13,333.71,954.99,325.57,85.11,4891.21,599.09,304.45,1957.6,199.05,252.93,1572.65,1139.07,534.62,326.33,649.97,227.94,388.35,194.76,246.05,606.76,187.89,239.59,407.38,319.18,300.61,214.61,272.41,215.01,218.54,301.97,168.97,346.39,599.08,204.49,892.23,792.8,115.12,300.95,647.89,283.33,872.47,586.99,553.33,488.3,173.28,349.53,442.27,168.25
IL9,89.97,125.29,234.62,106.99,183.46,183.7,89.32,114.66,145.69,27.34,31.59,45.2,49.47,59.72,25.73,24.09,76.01,68.12,106.58,50.99,40.04,20,50.01,49.35,81.08,114.4,151.13,80.85,20,84.23,71.69,53.75,41.38,26.84,47.26,63.71,44.82,90.6,209.34,50.18,58.87,50.16,20,78.7,92.35,73.25,153.83,20,45.84,45.45,39.15,20
ILF3,255.73,191.48,231.57,257.24,185.04,173.63,280.43,237.59,163.9,152.62,151.27,94.63,151.94,192.33,135.07,108.97,136.55,74.45,122.31,146.21,133.45,91.74,84.02,123.39,166.02,131.67,135.36,120.92,131.98,132.69,182.08,156.98,158.41,140.92,133.52,191.14,203.18,212.25,266.94,232.64,170.07,179.81,105.68,106.25,162.83,188.2,230.75,177.56,164.11,147.33,145.01,108.87
IRAK1,127.51,98.1,115.79,122.93,102.8,100.66,130.61,99.29,98.55,74.03,72.76,72.03,57.71,101,66.46,90.62,56.68,64.95,85.61,80.98,68.73,61.16,20,66.77,72.07,101.45,80.16,93.5,53.77,101.54,96.06,80.63,62.07,61.51,49.63,70.89,62.75,113.89,124.33,120.43,88.96,71.93,57.44,20,99.64,98.68,123.98,89.37,88.93,70.53,78.3,71.75
IRAK2,52.42,66.19,60.94,68.29,63.26,75.49,54.74,63.83,77.13,37.59,46.91,56.5,47.11,57.96,40.74,55.06,45.09,53.86,59.41,34.49,33.36,59.55,50.01,87.1,28.31,41.01,28.91,24.61,20,34.61,40.14,27.49,38.79,39.14,41.36,36.79,59.76,49.18,53.94,51.09,44.48,61.52,66.63,20,58.33,48.83,70.03,39.13,48.59,61.13,89.9,118.77
IRAK3,319.48,128.83,277.28,253.82,153.41,793.94,252.58,135.94,1317.6,234.63,249.88,1134.17,365.12,514.64,1455.8,2307.96,175.2,133.07,735.59,204.7,253.56,170.61,134.03,235.16,153.15,341.04,540.11,853.5,386.15,391.15,689.62,544.86,330.4,59.27,288.31,306,283.85,225.19,695.68,407.81,243.33,190.22,225.15,110.18,245.46,243.14,538.41,316.58,264.96,266.46,163.86,94.02
IRAK4,199.76,174.93,222.43,213.98,188.21,157.28,188.24,135.94,111.41,110.48,106.27,101.69,113.07,167.74,126.5,95.21,113.36,101.38,131.04,102.72,110.77,94.96,76.02,88.55,78.5,132.75,101.19,86.47,97.76,116.54,103.23,102.62,109.27,107.37,92.16,90.63,118.02,168.25,207.52,190.67,145.21,122.08,96.49,192.82,167.69,132.25,189.42,130.84,132.94,105.01,118.9,101.45
IRF1,1033.54,880.57,3421.81,1067.64,1684.37,3739.43,798.08,917.27,1388.31,594.54,1855.4,4035.26,641.91,1444.68,2880.51,2578.68,382.6,1039.19,3410.61,523.36,400.36,341.23,306.07,389.03,405.39,1435.38,2466.63,635.55,645.21,1063.83,2305.41,822.18,572.86,412.69,356.84,445.99,425.78,968.07,2176.63,1234.37,446.1,469.41,454.9,326.62,498.21,901.33,2601.35,860.94,568.43,583.07,540.87,353.82
IRF3,500.83,380.59,406.78,497.4,401.72,359.85,385.11,408.99,354.57,249.43,274.77,228.81,299.17,390.81,272.29,310.86,228.02,201.18,248.11,350.16,360.99,284.89,216.05,389.03,298.57,243.91,289.11,282.62,244.4,258.46,344.09,328.63,314.88,314.27,235.13,233.32,337.63,465.92,538.44,591.18,435.64,368.14,317.05,263.66,347.53,367.25,463.79,448.58,368.56,402.82,356.71,309.29
IRF4,129.63,72.1,105.12,173.01,109.13,210.12,158.46,135.94,176.75,93.39,79.46,62.15,137.8,150.18,84.69,87.18,73.43,68.12,66.39,141.71,126.78,53.12,42.01,68.22,106.82,103.61,98.56,228.49,117.31,81.92,93.19,120.94,97.63,58.16,67.35,63.71,97.11,111.3,85.93,163.3,91.58,101.26,107.98,110.18,87.49,100.71,79.21,96.37,104.52,84.64,88.45,98.97
IRF5,150.18,183.21,303.18,155.93,245.14,213.9,119.09,135.94,130.69,72.89,148.39,204.8,76.56,199.36,199.39,127.33,65.7,155.24,249.85,62.98,66.73,70.82,68.01,69.68,61.77,271.97,118.27,66.09,70.88,135,186.38,92.24,69.18,52.56,60.26,56.53,67.23,159.19,159.07,154.18,91.58,66.25,57.44,78.7,77.77,147.51,185.97,63.08,64.18,75.23,76.85,61.86
IRF7,236.6,472.79,868.4,171.87,563.04,743.61,136.37,278.96,323.51,75.17,426.03,783.89,95.4,427.7,471.69,373.95,78.58,430.88,882.35,76.48,50.04,46.68,52.01,65.32,59.2,536.38,423.15,68.9,95.32,311.53,484.6,117.89,53.02,58.16,54.35,54.74,52.29,261.43,428.74,208.01,36.63,38.8,20,20,97.21,226.86,580.88,77.68,38.51,48.59,63.8,66.81
IRF8,87.84,101.65,106.65,127.48,126.53,91.85,92.2,91.02,149.97,60.37,66.06,53.67,57.71,58.84,51.46,53.91,72.14,76.04,73.38,39.74,71.4,54.72,56.01,74.03,63.06,80.94,80.16,80.85,20,81.92,97.49,70.86,79.53,68.22,70.89,61.02,83.66,104.83,83.19,84.85,62.79,77.6,89.6,90.51,89.92,84.44,80.36,47.31,72.43,84.64,92.8,66.81
IRGC,20,20,65.51,20,45.87,76.75,20,20,44.99,20,29.68,108.76,20,55.33,61.1,146.83,20,36.43,80.37,20,20.69,20,20,20,20,21.58,27.6,20,20,20,20,20,20,23.49,20,20,20,20,29.25,20.07,20,20,20,20,20,20,44.77,22.78,20,20,20,20
IRGM,20,20,20,20,33.21,20,20,20,32.14,20,20,20,20,20,20,20,25.76,33.27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ISG20,291.86,690.27,1095.41,248.13,727.52,505.8,187.27,672.59,490.62,145.79,1121.09,1183.6,186.1,821.14,752.55,565.52,97.91,887.11,602.8,239.94,180.16,117.5,122.03,108.87,154.43,922.75,507.26,175.06,197.96,726.91,716.86,306.64,189.44,148.75,113.43,140.89,170.31,810.18,621.63,432.44,198.85,162.78,153.93,169.21,226.02,537.14,941.35,305.48,196.2,205.33,178.36,153.41
ITGA2B,373.32,470.42,348.88,465.53,699.05,778.84,754.86,867.63,282.8,326.88,195.31,159.6,650.16,791.28,541.37,780.03,352.98,527.51,345.95,710.81,176.83,268.8,284.06,431.12,413.11,553.65,530.91,1100.97,369.04,515.76,513.27,520.43,336.86,284.07,421.82,524.96,882.93,912.42,477.2,225.34,695.97,752.38,689.25,672.91,357.25,531.03,222.71,355.71,289.71,307.21,762.73,546.82
ITGA4,2710.99,2415.95,1773.37,1989.59,1978.54,1138.69,2031.21,2043.77,811.99,1323.47,1518.4,751.4,1128.35,1374.42,822.24,620.58,722.7,586.13,583.58,805.29,977.54,619.68,590.13,1078.53,922.74,834.25,820.02,644.69,637.88,970.37,1039.44,1170.97,1015.76,874.58,1005.53,1041.85,1858.48,2082.39,2474.65,1423.22,1699.38,1594.66,1229.16,1696.05,1433.86,1658.21,1792.02,1554.26,1430.24,1542.31,1613.92,1170.34
ITGA5,551.12,265.94,504.28,654.47,521.92,733.54,508.04,226.95,337.44,535.31,337.95,531.07,442.86,467.22,487.77,412.96,490.82,242.37,656.96,228.69,275.58,185.1,196.04,291.77,369.35,581.71,509.88,447.84,388.59,356.53,488.9,293.81,262.51,152.1,203.23,244.98,258.45,217.43,449.77,316.57,191,243.22,238.94,114.12,347.53,342.83,407.54,192.16,235.62,249.21,278.41,121.24
ITGA6,66.59,72.1,74.65,188.94,189.79,132.11,163.27,146.57,66.42,78.59,64.14,40.96,77.74,81.68,57.89,47.03,83.74,52.28,55.91,74.98,52.71,57.94,78.02,95.8,74.64,76.63,59.14,67.49,63.54,77.31,57.35,67.8,60.78,73.81,87.44,85.25,85.16,88.01,67.65,45.62,43.17,64.35,20,102.31,77.77,73.25,59.7,53.15,50.43,76.8,91.35,61.86
ITGAE,20,20,20,20,20,20,21.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.54,20,20,20,23.63,20,20,20,20,20,20,20,20,20,53.47,20,20,20,20,20,20,20
ITGAL,784.18,736.37,851.64,490.57,498.19,571.23,668.43,646.58,371.71,397.5,520.81,329.09,495.86,784.26,469.54,300.54,175.2,215.44,379.15,320.91,344.31,197.97,142.03,256.93,266.4,320.53,412.64,198.96,317.72,384.22,519.01,497.83,423.5,329.92,322.57,297.03,437.73,568.16,934.28,669.64,521.98,457.1,275.7,271.53,447.17,631.75,852.96,344.61,630.77,460.81,510.42,363.72
ITGAM,619.84,477.52,1032.94,253.82,406.46,841.75,315.01,223.41,972.67,128.7,227.86,524,222.61,565.58,507.06,628.61,136.55,354.84,1018.64,284.17,253.56,112.67,80.02,121.93,111.96,397.16,378.47,229.19,102.65,257.3,432.98,306.64,223.07,78.29,114.61,122.94,152.38,256.25,447.94,592.09,321.82,122.08,114.87,137.73,182.27,231.95,452.31,192.16,203.53,222.57,179.81,89.07
ITGAX,236.6,117.02,149.3,184.39,118.62,105.69,180.55,107.57,40.71,143.51,68.93,48.02,131.92,126.46,56.82,27.53,115.94,50.69,159,99.72,95.42,64.38,60.01,103.06,75.93,98.21,116.96,79.44,75.76,94.61,121.87,91.01,64.66,48.09,83.89,68.2,65.73,86.71,130.73,130.46,100.73,79.5,66.63,20,75.34,81.38,92.99,30.96,69.68,73.67,56.55,61.86
ITGB1,661.63,563.8,609.41,754.63,819.25,801.49,745.26,735.24,484.19,415.72,355.19,292.37,436.97,541.87,437.38,511.61,425.12,367.52,279.56,477.62,488.44,399.17,330.07,563.22,424.69,440.33,431.04,570.87,408.15,464.99,384.24,475.23,477.17,408.21,395.83,455.87,781.34,657.46,590.55,509.07,438.25,696.54,576.67,499.77,490.92,619.54,497.08,560.72,594.1,744.51,865.68,549.29
ITGB2,689.97,719.82,539.32,410.89,376.41,347.27,392.8,322.7,283.87,310.94,344.66,207.62,436.97,403.98,315.17,341.84,180.35,190.1,246.36,273.68,228.87,204.41,190.04,209.03,163.44,185.63,228.66,173.65,212.63,205.38,318.28,340.23,234.7,224.8,256.4,224.34,337.63,401.21,522.9,517.28,447.41,360.57,307.86,342.36,573.54,391.66,489.04,334.1,422.65,374.61,346.56,363.72
ITLN1,26.21,37.82,60.94,36.42,20,39,30.73,35.46,42.85,25.06,44.04,39.55,43.58,32.49,36.45,41.3,20,20,40.19,20,20,40.24,20,20,37.32,20,43.37,20,20,26.54,45.88,21.99,20.04,31.31,24.81,34.1,41.83,33.65,62.16,50.18,36.63,25.55,50.54,20,53.47,44.76,47.07,32.12,37.59,42.32,36.25,51.96
ITLN2,20,23.64,45.71,20,34.79,46.55,20,20,126.4,20,20,39.55,20,34.25,64.32,113.56,20,20,34.94,20,20,20,20,20,20,22.66,20,38.67,20,25.38,37.28,20,20,20,23.63,20,20,27.18,20,25.54,20,20,20,20,20,21.36,41.33,20,20,20,20,54.43
JAK1,541.92,423.15,649.02,747.8,727.52,647.98,778.87,625.31,514.19,484.06,522.73,481.63,444.04,683.26,551.02,659.58,410.95,389.7,440.3,376.4,469.09,325.13,284.06,509.51,344.9,464.07,392.93,420.42,356.82,430.38,461.66,392.15,392.47,350.06,339.11,344.59,543.8,599.22,796.24,599.39,173.99,532.82,443.42,373.84,425.3,603.26,699.13,543.2,492.33,512.54,662.68,361.25
JAK2,727.51,1018.86,2571.69,496.26,1015.36,1889.85,453.3,737.6,726.29,302.96,861.64,1611.56,325.08,900.18,1695.93,1539.41,341.38,763.55,1864.3,311.17,343.64,272.01,260.06,463.06,271.55,756.54,863.39,326.92,295.72,717.68,1301.81,624.27,357.55,223.68,321.39,354.46,440.72,819.24,1181.1,1046.43,393.77,362.47,323.95,354.16,277.05,562.57,1371.85,407.69,326.39,401.25,466.92,331.55
JAK3,170.01,200.94,246.81,218.54,215.09,210.12,163.27,179.67,185.32,109.34,94.78,111.58,175.5,112.41,105.06,83.74,100.48,77.62,192.2,96.72,100.76,54.72,20,85.64,111.96,105.77,120.9,82.96,97.76,118.84,172.05,113,98.93,101.77,89.8,113.97,132.96,174.72,216.66,194.32,151.75,126.82,66.63,114.12,226.02,162.77,247.97,70.67,122.85,81.5,124.71,69.28
JUN,49.59,41.37,59.42,72.85,64.84,60.39,44.18,43.74,159.61,45.56,22.02,42.37,34.16,36.89,51.46,33.27,38.65,20,20,35.99,24.02,20,40.01,20,36.03,20,49.94,20,20,20,20,20,27.8,26.84,20,30.51,47.81,29.77,41.14,48.35,20,24.61,20,20,51.04,27.47,34.44,33.29,24.75,20,33.35,20
KCNJ2,330.11,114.65,630.73,338.05,488.7,1411.72,263.15,119.39,432.77,314.35,848.24,1737.27,244.99,622.66,1245.68,871.8,208.69,312.07,1700.06,143.96,127.45,146.47,150.03,166.93,154.43,552.57,1117.01,317.07,251.73,379.61,810.05,320.69,141.6,126.38,138.25,143.58,191.23,302.85,1266.12,590.27,108.58,139.12,192.99,106.25,92.35,255.34,825.41,217.86,102.68,142.63,134.86,56.91
KEAP1,35.42,46.1,44.18,29.59,37.96,20,23.05,29.55,32.14,26.2,41.17,43.78,23.56,47.42,28.94,35.56,20,20,20,20,23.35,20,20,20,20,23.74,20,21.09,20,36.92,30.11,20,23.28,24.6,20,20,32.87,51.77,26.51,39.23,27.47,22.71,20,20,20,39.67,53.96,37.97,26.59,20,20,20
KIR2DL4,20,29.55,38.09,23.9,20,20,20,24.82,20,28.47,20,38.14,20,20,20,20,29.63,50.69,20,20,21.35,49.9,20,33.39,20,20,20,20,20,24.23,20,20,20,23.49,25.99,20,20,20,20,20,20,23.66,20,20,20,26.45,29.85,20,21.09,47.02,50.75,20
KIR3DL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.4,20,20.17,20,20,20
KIR3DL2,65.17,76.83,65.51,105.85,85.4,99.4,39.38,37.83,256.02,52.39,54.57,77.68,44.76,72.01,76.11,60.8,42.51,20,20,50.24,91.42,65.99,52.01,68.22,52.76,25.9,49.94,56.24,20,31.15,50.18,31.76,26.51,26.84,38.99,30.51,71.71,58.24,85.02,58.39,81.11,84.23,80.41,94.44,99.64,64.09,86.1,43.81,71.51,54.86,78.3,81.65
KIR3DL3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.08,20,20,20,20,20,20,20,20,20,21.9,20,20,20,20,20,20,20,20,20,20,20,20
KIR3DS1,41.09,39.01,20,64.88,39.54,39,40.34,28.37,144.62,35.31,23.93,29.66,55.36,63.23,39.66,34.41,36.07,20,20,39.74,68.06,40.24,44.01,47.9,52.76,29.14,38.11,44.29,20,20,20,20.77,20.04,20,20,20,52.29,55.65,64.91,50.18,64.1,75.71,94.2,102.31,58.33,35.61,59.7,31.54,49.51,43.89,56.55,54.43
KIT,27.63,30.73,20,27.32,20,25.16,20,20,24.64,20,20,20,32.98,20.2,20,90.62,20,20,20,20,20.02,20,20,20,20,20,20,42.18,20,20,20,20,20,20,28.36,20,20,20,20,20,20,23.66,20,20,20,20,20,20,20,20,20,20
KLRB1,36.13,28.37,41.13,58.05,56.94,51.59,21.13,31.92,157.47,34.17,22.02,20,20,29.86,20,28.68,64.41,33.27,55.91,54.74,126.11,140.03,126.03,108.87,27.03,21.58,28.91,22.5,20,26.54,20,20,20,34.67,20,20,35.85,31.06,20,27.37,31.4,24.61,45.95,86.57,165.26,55.95,50.51,96.96,86.18,92.48,68.15,118.77
KLRC1,87.84,70.92,76.18,56.91,45.87,30.2,51.86,48.46,117.83,87.7,40.21,62.15,54.18,56.21,33.23,24.09,52.82,34.85,47.18,121.47,120.77,80.48,64.01,95.8,61.77,44.25,49.94,48.51,80.65,61.15,67.38,107.51,97.63,69.34,60.26,70.89,91.13,68.59,70.39,97.62,94.19,93.69,68.92,114.12,94.78,71.21,75.77,78.85,58.68,65.83,56.55,61.86
KLRC2,177.8,100.47,106.65,351.71,238.82,103.17,147.9,83.93,190.68,231.21,161.8,162.43,184.92,213.41,116.85,43.59,106.92,34.85,59.41,83.98,276.92,152.91,158.03,307.74,164.73,41.01,52.57,78.74,90.43,54.23,64.52,82.46,116.38,68.22,94.53,101.4,186.74,163.07,144.44,60.21,230.25,310.41,202.18,283.33,133.67,82.4,95.28,54.32,143.02,126.96,89.9,84.13
KLRC3,116.88,79.19,76.18,250.41,186.62,96.88,108.52,75.65,231.38,167.43,132.12,169.49,117.78,129.1,87.91,39,77.29,41.19,62.9,90.73,200.18,123.94,136.03,204.67,110.68,47.49,56.51,63.98,100.2,51.92,73.12,86.74,88.58,73.81,81.53,87.05,149.4,137.19,121.58,76.63,143.9,196.85,188.39,263.66,133.67,75.28,86.1,61.33,96.27,76.8,87,86.6
KLRD1,890.44,940.85,815.08,631.71,616.81,420.25,456.18,556.75,843.05,804.11,1418.83,1183.6,558.29,923.02,728.97,286.77,228.02,174.25,131.04,440.13,625.89,413.65,312.07,502.25,379.65,312.98,391.61,360.66,461.91,583.84,521.87,730.56,755.84,601.69,602.61,600.34,997.96,1317.51,1832.91,1277.24,972.01,1139.45,771.96,1357.63,1166.53,962.37,1498.13,1233.59,1100.18,891.84,765.63,739.81
KLRF1,230.93,275.4,225.48,138.86,139.18,61.65,122.93,153.67,175.68,178.82,259.45,168.08,187.27,263.47,224.05,103.24,85.02,61.78,61.15,114.72,170.15,167.39,96.02,171.29,99.1,71.23,77.53,69.6,100.2,130.38,104.66,148.43,131.25,124.14,129.97,117.56,360.04,381.79,454.34,318.4,333.6,269.72,259.62,527.31,398.56,329.61,436.24,442.15,334.64,344.82,279.86,269.7
KLRF2,20,20,20,20,20,28.94,20,26.01,46.06,20,22.98,38.14,20,28.98,37.52,24.09,20,20,20,20,24.02,20,20,20,20,24.82,20,23.9,20,20,20,20,20,20,20,20,29.88,20,27.43,26.46,20,20,20,20,20,24.42,36.74,20,20,20,20,20
KLRG1,157.26,191.48,129.5,80.81,60.1,36.49,80.67,79.2,57.85,150.34,166.58,91.81,160.18,158.96,79.33,50.47,47.66,42.77,40.19,117.72,134.12,75.65,54.01,36.29,88.8,79.86,74.91,35.86,102.65,92.31,90.32,148.43,159.06,82.76,89.8,99.61,147.9,196.72,183.75,354.89,256.41,132.49,137.85,161.34,196.85,154.63,161.87,212.02,180.61,169.28,104.4,141.03
KLRG2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KLRK1,340.73,326.22,374.78,471.22,382.74,179.93,467.71,432.63,399.57,487.48,359.02,293.78,477.02,432.09,244.42,87.18,279.55,110.89,145.02,308.17,501.12,234.99,228.05,339.67,266.4,134.9,176.09,137.09,310.39,291.92,265.24,357.95,382.77,325.45,262.31,367.03,555.75,594.05,639.92,449.77,438.25,504.42,305.57,495.83,617.29,589.02,634.84,614.46,664.69,565.83,469.82,393.41
KNG1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LAG3,47.46,46.1,92.93,58.05,49.03,65.43,38.42,56.74,97.48,20,38.3,39.55,30.62,59.72,48.24,41.3,20,20,34.94,87.73,28.03,20,20,20,20,48.57,47.31,70.3,20,48.46,51.61,113,47.2,39.14,33.08,33.2,31.37,31.06,29.25,102.18,30.09,26.5,20,20,85.06,75.28,104.47,81.77,81.6,45.45,66.7,81.65
LAIR1,603.55,404.23,411.35,276.58,292.59,284.36,509,455.09,1341.17,294.99,559.11,1117.22,440.5,743.86,1040.93,1313.43,311.75,386.53,559.12,569.1,666.6,338.01,280.06,377.41,306.29,445.72,523.03,386.67,219.96,317.3,352.69,302.97,265.09,260.58,205.6,180.37,346.6,539.69,780.7,765.43,561.23,458.05,321.65,362.03,439.88,574.78,833.44,591.1,586.76,478.05,413.27,304.34
LAIR2,20,20,20,22.76,20,20,21.13,20,27.85,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LAMP3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LCK,365.53,395.96,402.21,439.35,415.95,342.24,419.69,405.44,308.51,258.54,335.08,274.01,253.23,355.68,276.58,177.8,136.55,117.23,178.22,281.92,204.85,148.08,134.03,168.38,286.99,184.55,190.55,184.9,246.84,205.38,292.48,299.31,230.18,278.48,225.68,230.62,282.36,340.38,438.8,492.65,262.95,310.41,259.62,287.27,342.67,347.92,444.27,492.39,412.57,294.67,358.16,351.35
LCP2,1404.02,919.57,2381.25,1281.62,1643.25,3315.41,1201.44,864.08,1386.16,816.64,1512.66,2598.84,913.99,1653.7,2209.42,1584.14,619.64,902.95,2416.43,518.11,583.86,373.42,368.08,717.09,455.58,1136.43,1600.62,531.5,628.1,821.53,1536.94,691.46,574.8,436.17,516.35,577.01,654.35,1065.14,2051.39,1156.82,545.53,674.77,512.34,460.41,716.93,1104.8,2268.43,824.73,763.71,710.03,661.23,465.17
LEF1,159.39,112.29,173.68,483.74,466.56,313.3,476.35,382.99,237.81,168.57,115.84,81.92,181.38,181.79,124.35,114.71,155.88,109.3,143.27,116.97,93.42,109.45,84.02,129.19,256.1,220.16,189.24,111.78,151.53,129.23,167.74,125.22,115.09,159.93,146.52,163.32,137.44,139.78,135.3,113.13,103.35,109.78,110.28,90.51,194.42,142.42,121.69,64.83,74.26,125.39,179.81,136.09
LGALS3,1275.1,569.71,504.28,915.12,695.89,700.83,645.38,492.92,557.04,637.82,557.19,766.94,525.31,654.28,745.05,1062.21,623.5,544.94,559.12,1136.7,1040.93,564.95,526.12,698.21,489.04,499.69,408.7,703.75,676.98,738.45,539.08,1043.91,801.1,535.71,602.61,472.92,723.07,808.89,1158.25,1935.03,1139.46,575.4,719.11,625.69,955.1,796.55,905.77,1270.39,938.82,921.62,793.18,492.38
LIF,20,20,20,20,20,20,20,20,50.35,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LILRA1,20,20,20,20,20,20,74.91,68.56,49.28,44.42,57.44,40.96,45.93,56.21,55.74,37.85,39.94,52.28,69.89,42.74,26.69,49.9,50.01,49.35,36.03,101.45,59.14,21.79,20,55.38,81.72,48.87,29.74,32.43,28.36,42.18,61.25,125.54,176.43,98.53,44.48,60.57,71.22,20,48.61,42.73,66.58,34.46,36.67,56.43,39.15,51.96
LILRA2,20,20,20,20,20,20,692.44,398.35,1366.88,103.65,89.99,158.19,353.35,627.05,830.81,975.03,524.31,1050.28,2061.74,509.86,517.13,318.69,308.07,458.7,272.83,832.09,671.52,398.63,100.2,98.08,121.87,91.01,58.84,85,61.44,59.23,158.36,156.6,394.01,286.47,129.51,137.23,163.12,94.44,279.48,467.96,743.9,304.31,286.96,316.61,268.26,160.83
LILRA3,498,216.3,1121.31,302.76,466.56,1714.95,129.65,61.47,823.77,199.32,363.8,1377.1,214.36,512.01,1495.46,1716.06,83.74,218.61,948.75,110.97,108.1,62.77,68.01,60.97,52.76,130.59,278.6,203.18,153.97,167.31,394.27,198.52,120.26,39.14,121.7,103.2,76.19,60.83,298.02,302.89,73.26,59.62,91.9,20,235.74,221.77,662.39,263.42,139.36,175.55,113.1,76.7
LILRA4,20,35.46,20,20,20,20,20,26.01,37.49,20,29.68,46.61,31.8,44.79,49.31,83.74,37.36,72.87,68.14,24.74,32.03,32.19,20,29.03,36.03,59.36,20,26.72,20,48.46,28.67,20,20,20,23.63,20,20,32.36,21.94,20,20,20,20,20,53.47,53.92,34.44,20,32.09,34.48,20,20
LILRA5,169.3,111.11,204.15,126.34,185.04,464.28,97.96,57.92,441.34,95.67,112.01,422.31,85.98,179.16,317.32,404.93,73.43,166.33,335.47,74.23,70.73,45.07,52.01,74.03,47.62,124.11,106.44,85.07,63.54,88.84,124.73,79.41,42.03,35.79,61.44,36.79,55.28,78.95,140.78,139.58,64.1,55.84,66.63,90.51,140.96,114.96,197.45,95.21,94.43,95.61,84.1,20
LILRA6,20,24.82,20,20,20,20,22.09,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.8,20,20,20,20,26.28,20,20,30,20,20,20,29.08,20,20,29.88,25.88,20,20,20,20,45.95,20,58.33,21.36,20,20,20,20,20,20
LILRB1,58.8,43.73,53.32,43.25,20,35.23,29.77,24.82,36.42,20,20.1,20,24.73,27.23,30.02,20,27.05,20,34.94,21.74,41.37,37.02,20,39.19,20,20,26.28,20,20,23.08,35.84,20,20,20,20,20,38.84,40.12,54.85,38.32,26.16,33.12,20,20,20,29.5,20,22.78,22.92,20,20,20
