Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
ROCK2,109.09,121.74,201.1,120.65,153.41,143.44,83.55,124.12,110.34,64.92,89.04,79.1,80.09,116.8,145.79,99.8,54.11,72.87,115.32,53.24,49.38,57.94,56.01,59.52,57.91,96.05,98.56,63.98,75.76,107.31,121.87,88.57,61.42,78.29,64.99,82.56,92.63,135.89,144.44,111.3,74.57,69.09,68.92,125.93,97.21,99.7,118.24,87.03,70.6,62.7,82.65,74.23
RORC,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
RPS6KA5,212.52,247.03,251.38,240.16,287.84,234.03,172.87,166.67,183.18,138.95,196.26,224.57,155.47,153.69,302.31,325.78,149.43,172.67,216.66,124.47,136.12,125.55,140.03,233.71,117.11,171.6,173.47,102.64,153.97,192.69,196.42,178.36,165.52,123.02,205.6,172.3,231.56,270.49,312.65,272.78,196.23,227.13,202.18,228.24,119.08,166.84,233.04,197.42,173.28,203.76,194.31,123.71
RRAD,20,20,20,20,20,20,20,20,20,20,22.02,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
RUNX1,276.27,173.75,367.17,250.41,249.89,273.03,228.57,173.76,219.6,167.43,171.37,286.72,153.12,204.63,315.17,276.45,86.31,114.06,253.35,162.71,163.48,96.57,78.02,120.48,101.67,192.1,228.66,150.45,153.97,152.31,232.26,180.2,148.06,82.76,109.89,144.48,140.43,192.84,257.8,303.8,192.31,129.65,103.39,82.64,131.23,197.36,267.48,187.49,179.7,164.58,126.16,108.87
S100A8,1647,680.82,7139.18,1716.42,5688.89,20108.86,1073.71,523.65,21222,1287.03,4382.88,25208.73,1697.24,6517.32,17495.29,36182.97,2563.58,4700.11,18665.73,782.04,6443.78,2866.61,1274.28,1551.75,459.44,3254.97,6058.16,3807.69,1058.25,1175.75,3463.86,897.92,2328.3,704.59,499.81,501.63,640.91,552.63,4145.75,5530.47,975.93,710.74,1111.98,562.73,2981.95,2594.13,11385.79,5967.03,3968.91,4957.64,2341.84,1222.3
S100A9,8267.58,2992.75,43733.96,10308.76,30596.96,96886.66,6297.24,2633.62,75541.59,7874.79,30445.57,137587.31,8668.75,41433.86,100074.78,158887.09,9909.08,24599.92,97041.52,4187.63,21533.98,8921.75,5575.23,7194.08,3285.58,18830.49,37922,16445.61,6273.72,7417.96,22232.63,5583.01,9267.29,3330.56,2572.31,3011.58,4132.28,3401.2,23414.56,19811.89,4975.16,3510.14,6483.51,2121.05,12479.46,14922.88,62323.39,25823.65,16106.67,20070.38,10067.76,5977.87
S1PR1,636.84,587.44,612.45,808.13,762.31,473.09,613.69,520.1,212.1,326.88,311.15,221.75,393.39,426.82,286.23,144.53,233.17,155.24,200.93,334.41,335.63,189.93,168.04,248.22,391.23,322.69,360.07,223.57,278.61,323.07,325.45,346.95,359.49,402.62,379.29,340.1,382.45,358.5,458.91,518.2,519.36,367.2,294.08,318.75,422.87,389.63,397.21,430.47,372.23,289.97,369.76,329.08
SDHA,210.39,197.39,205.67,193.5,189.79,182.44,222.81,192.67,175.68,103.65,132.12,107.34,136.63,162.47,123.28,98.65,81.16,88.71,97.85,128.22,102.76,80.48,74.02,107.42,106.82,93.89,110.39,139.2,127.09,117.69,126.17,184.47,124.14,117.43,88.62,116.66,134.46,186.37,210.26,162.39,121.66,127.76,119.47,106.25,174.98,173.96,185.97,109.81,125.6,148.9,165.31,111.34
SELE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
SELL,4712.19,2251.66,11444.63,7086.49,11441.04,20594.53,4910.44,2872.39,11317.47,4077.49,12807.8,27345.71,3354.43,12829.13,19552.49,20305.96,2950.05,8437.06,15036.72,3182.15,3766.04,1960.43,1944.43,2591.09,2770.8,10209.56,9767.97,4363.09,3299.38,5481.83,8195.12,3836.03,3201.17,1588.11,1872.81,1892.56,1985.46,3547.45,7364.53,8168.89,3104.41,2110.44,2759.28,1007.4,2680.59,5731.51,11849.58,5392.29,3455.49,3890.25,3374.29,1524.16
SELPLG,468.95,347.5,588.08,317.56,427.02,837.97,259.3,209.22,412.42,225.51,259.45,460.45,267.36,276.64,505.99,388.87,135.26,171.09,606.29,170.2,133.45,135.2,122.03,145.16,146.71,233.11,394.24,237.63,171.08,188.07,342.66,168.59,137.07,98.42,161.88,105.89,112.05,129.42,278.82,228.08,168.76,143.85,174.61,90.51,211.43,204.48,388.02,207.35,165.94,131.66,178.36,111.34
SERPING1,20,39.01,444.87,20,60.1,310.78,20,86.29,182.11,20,83.29,251.41,20,20.2,207.97,154.86,20,20,244.61,22.49,20,20,20,20,20,20,132.73,20,20,20,170.61,88.57,20,20,20,20,20,32.36,200.2,311.1,20,20,20,20,20,20,141.2,21.61,20,20,20,20
SH2D1A,164.35,176.11,135.59,154.8,102.8,86.82,137.33,171.4,177.82,154.9,196.26,138.42,151.94,198.48,147.94,56.21,63.12,61.78,50.67,123.72,84.74,83.7,84.02,92.9,104.24,66.91,78.85,67.49,178.41,156.92,98.93,169.81,163.58,162.17,151.24,109.48,192.72,213.55,263.28,254.54,255.1,152.37,142.44,240.04,216.29,187.18,230.75,268.68,226.45,225.7,131.96,173.2
SHC1,210.39,247.03,193.49,125.2,188.21,162.31,152.7,222.23,149.97,105.92,108.18,115.82,134.27,144.03,96.48,118.15,77.29,118.81,83.87,132.71,134.79,123.94,96.02,114.68,92.66,127.35,128.79,114.6,90.43,111.92,126.17,129.5,123.49,82.76,116.98,97.81,101.59,151.42,187.4,190.67,176.61,135.33,133.25,114.12,131.23,152.6,151.54,140.18,166.86,216.3,232.01,155.88
SIGIRR,294.69,294.31,237.67,291.38,202.44,188.73,256.42,166.67,121.05,153.76,95.74,79.1,204.94,153.69,85.76,34.41,124.96,68.12,124.05,112.47,122.78,94.96,74.02,104.51,225.22,125.19,169.52,87.88,141.75,136.15,136.2,98.95,133.84,104.01,105.16,117.56,167.32,173.43,201.12,176.99,257.72,158.99,87.3,145.6,223.59,148.53,191.71,110.39,169.61,139.5,147.91,128.66
SIGLEC1,20,100.47,211.77,20,180.3,28.94,20,137.12,23.57,20,68.93,20,20,177.4,42.88,20,20,131.48,48.92,20,20,20,20,20,20,132.75,40.74,20,20,131.54,96.06,20.77,20,20,20,20,20,111.3,68.56,20,20,20,20,20,20,64.09,60.84,20,20,20,20,20
SIRPA,612.75,269.49,415.92,394.96,332.13,505.8,308.28,191.49,256.02,342.83,278.6,711.86,288.57,411.01,593.9,571.26,289.85,285.14,885.85,178.45,199.51,162.56,162.04,222.09,182.75,335.64,477.03,222.86,249.29,220.38,434.42,237,148.71,104.01,171.33,131.91,168.82,200.6,419.6,268.22,86.34,158.05,199.88,118.05,194.42,235,412.13,151.86,145.77,183.38,185.61,86.6
SKI,115.47,130.02,88.36,118.37,110.71,93.11,104.68,87.47,91.05,63.78,39.25,31.07,75.38,66.75,48.24,34.41,63.12,36.43,66.39,65.23,51.38,46.68,44.01,68.22,81.08,80.94,76.22,71.71,83.1,62.31,57.35,61.69,64.66,57.04,56.72,49.36,80.67,67.3,75.88,78.46,92.88,67.19,68.92,20,89.92,62.06,81.51,20,80.68,94.04,88.45,71.75
SLAMF1,185.6,222.21,237.67,186.67,199.28,166.08,133.49,164.31,142.47,83.14,112.01,80.51,114.25,158.08,108.27,90.62,79.87,66.53,48.92,68.23,70.06,72.43,20,92.9,90.09,103.61,93.3,74.52,109.98,120,103.23,110.56,82.76,91.71,83.89,89.74,92.63,138.48,152.67,114.95,99.42,104.1,68.92,110.18,160.4,135.3,205.49,140.18,109.1,103.45,95.7,103.92
SLAMF6,143.8,117.02,167.59,132.03,115.45,127.08,116.21,134.75,133.9,72.89,86.16,66.38,91.87,127.34,60.03,41.3,50.24,50.69,20,68.98,93.42,35.41,48.01,58.06,68.21,59.36,85.42,71.71,70.88,78.46,111.83,83.68,98.93,86.12,74.44,73.58,132.96,141.07,162.72,111.3,163.53,117.35,124.06,118.05,121.51,107.83,128.58,92.87,115.52,90.91,73.95,91.55
SLAMF7,234.48,242.3,403.73,227.64,199.28,198.8,218.97,281.33,472.41,246.02,415.5,333.33,233.21,479.51,323.75,173.21,101.77,123.56,99.59,228.69,244.22,83.7,114.03,132.09,144.14,167.28,214.2,156.78,124.64,234.23,276.71,352.45,221.77,183.42,140.61,134.61,355.56,566.87,731.33,414.19,251.18,330.29,280.29,279.4,349.96,428.29,594.66,561.89,485,349.53,330.61,277.12
SLC2A1,50.3,82.74,95.98,85.37,115.45,117.01,102.76,180.85,164.97,148.07,95.74,77.68,89.51,83.43,92.19,221.39,200.96,179.01,96.1,611.84,232.21,344.44,324.07,377.41,90.09,84.18,67.02,254.5,109.98,73.84,63.08,91.01,284.49,164.4,155.97,115.76,124,84.12,60.34,387.74,192.31,189.28,213.67,208.56,157.97,171.92,118.24,626.14,451.99,763.32,535.07,378.57
SMAD2,289.02,276.58,248.33,363.09,303.66,225.22,291.96,270.69,233.53,192.48,202.96,214.69,190.81,236.24,219.76,238.6,164.89,179.01,152.01,160.46,190.17,141.64,122.03,242.42,177.6,166.2,152.44,157.48,141.75,170.77,190.68,178.36,190.09,129.73,139.43,158.83,230.07,234.25,270.59,228.99,171.38,201.58,204.48,251.85,235.74,226.86,267.48,247.07,244.79,216.3,207.36,160.83
SMAD3,188.43,202.12,179.77,104.72,107.55,64.17,117.17,147.76,68.56,92.26,92.87,48.02,117.78,140.52,61.1,40.15,59.26,69.7,71.64,62.98,58.05,62.77,20,60.97,68.21,88.5,63.08,39.37,117.31,98.08,103.23,73.91,95.69,79.41,88.62,92.43,140.43,161.78,160.89,121.34,68.03,105.05,68.92,86.57,140.96,125.13,117.1,102.8,117.35,115.99,92.8,121.24
SMAD5,34.71,29.55,41.13,47.8,41.12,30.2,51.86,54.37,42.85,52.39,33.51,31.07,34.16,41.28,24.66,20,37.36,20,20,20.24,22.69,32.19,20,20,28.31,26.98,20,23.2,58.66,24.23,51.61,29.32,20,29.08,30.72,30.51,55.28,67.3,51.19,48.35,41.86,37.86,50.54,20,77.77,42.73,43.62,40.89,28.42,42.32,20,66.81
SMAD7,77.21,63.83,62.46,52.36,69.59,47.81,65.31,61.47,28.92,53.53,44.04,28.25,71.85,72.01,42.88,26.38,38.65,50.69,36.69,36.74,46.04,38.63,20,34.84,55.34,24.82,48.62,26.01,68.43,39.23,38.71,25.04,49.79,50.33,43.72,45.77,61.25,58.24,66.73,59.3,58.87,60.57,20,20,82.63,68.16,76.92,46.14,73.35,64.26,66.7,76.7
SMPD3,194.81,198.57,20,20,20,20,20,20,20,20,20,20,29.45,28.1,20,20,28.34,20,20,20,20,37.02,20,20,20,20,20,20,20,26.54,20,20,20,27.96,36.63,25.13,20,20,21.03,20,20,28.39,20,20,20,20,20,20,20,20,20,20
SOCS1,80.76,176.11,755.66,46.67,227.75,1117.3,40.34,118.21,503.47,20,291.04,1173.71,35.33,127.34,806.16,598.79,20,167.92,1114.74,50.99,34.03,20,20,20,37.32,214.77,609.76,43.59,20,96.92,553.41,91.62,42.67,30.2,31.9,25.13,20,103.54,330.01,286.47,47.1,25.55,20,20,20,70.19,722.09,112.14,46.76,36.05,52.2,20
SOCS3,115.47,70.92,353.45,126.34,408.04,601.43,97.96,80.38,813.06,140.09,308.28,532.48,84.8,294.21,460.97,275.3,109.5,158.41,1109.5,39.74,38.7,54.72,64.01,78.39,56.63,192.1,433.66,105.46,102.65,76.15,223.66,64.75,31.68,39.14,54.35,43.07,55.28,62.12,225.8,85.76,32.71,24.61,80.41,20,60.76,90.54,408.69,80.6,57.76,56.43,71.05,51.96
SPP1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
